time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-27T20:34:01.376Z,-8.1375,120.2127,198.641,4.8,mb,49,70,2.064,1.32,us,us7000j0i7,2023-03-07T18:59:54.040Z,"53 km NE of Labuan Bajo, Indonesia",earthquake,7.12,7.452,0.093,41,reviewed,us,us
2022-12-27T02:45:29.573Z,-8.9175,122.3773,124.77,4.5,mb,28,105,0.312,0.73,us,us6000jbwc,2023-03-07T18:59:51.040Z,"37 km SSE of Maumere, Indonesia",earthquake,6.36,4.938,0.131,17,reviewed,us,us
2022-12-26T12:42:55.896Z,-8.3681,121.5186,186.5,4.2,mb,34,104,0.759,0.6,us,us6000jbsn,2023-03-07T18:59:50.040Z,"54 km NNW of Ende, Indonesia",earthquake,6.36,6.437,0.131,16,reviewed,us,us
2022-12-22T11:22:24.944Z,-9.0365,124.3157,97.515,4.3,mb,26,99,0.715,1.32,us,us6000jb1v,2023-02-28T23:06:43.040Z,"19 km NNW of Pante Makasar, Timor Leste",earthquake,9.05,9.296,0.237,5,reviewed,us,us
2022-12-22T06:27:11.347Z,-8.658,118.305,143.509,4.1,mb,25,56,0.549,0.78,us,us6000jb0s,2023-02-28T23:06:42.040Z,"22 km SW of Dompu, Indonesia",earthquake,6.34,5.789,0.165,12,reviewed,us,us
2022-12-17T09:39:40.229Z,-10.4897,118.8576,20.202,4.3,mb,21,69,1.966,0.45,us,us7000j0f9,2023-02-28T23:06:21.040Z,"179 km WSW of Waingapu, Indonesia",earthquake,7.05,4.248,0.202,7,reviewed,us,us
2022-12-17T06:45:49.382Z,-10.1658,118.8581,30.376,4.5,mb,21,90,1.705,0.83,us,us6000j9yh,2023-02-28T23:06:21.040Z,"164 km WSW of Waingapu, Indonesia",earthquake,7.71,7.014,0.204,7,reviewed,us,us
2022-12-15T06:20:33.635Z,-8.2016,123.8765,176.037,4.5,mb,37,43,1.591,0.53,us,us6000j9cp,2023-02-18T22:04:11.040Z,"123 km NNW of Pante Makasar, Timor Leste",earthquake,8.51,7.669,0.127,19,reviewed,us,us
2022-12-14T20:12:39.802Z,-9.8967,118.7829,36.645,4.4,mb,35,84,1.454,0.74,us,us6000jach,2023-02-18T22:04:19.040Z,"154 km SSE of Dompu, Indonesia",earthquake,6.83,6.743,0.123,19,reviewed,us,us
2022-12-13T22:09:26.180Z,-9.5401,120.4798,89.693,4.9,mb,26,109,1.955,0.82,us,us6000j936,2023-02-18T22:04:09.040Z,"26 km ENE of Waingapu, Indonesia",earthquake,7.58,6.736,0.145,15,reviewed,us,us
2022-12-11T23:04:36.740Z,-10.8121,122.9274,10,4.2,mb,15,142,1.686,0.83,us,us6000j8p0,2023-02-18T22:04:04.040Z,"102 km SW of Kupang, Indonesia",earthquake,5.95,1.948,0.303,3,reviewed,us,us
